@RELATION programmer_profiling

@ATTRIBUTE "Non-empty Lines" REAL
@ATTRIBUTE Words REAL
@ATTRIBUTE Chars REAL
@ATTRIBUTE "Ternary Operations" REAL
@ATTRIBUTE Comments REAL
@ATTRIBUTE "Comment Readability" REAL
@ATTRIBUTE "Multi-line to All Comments" REAL
@ATTRIBUTE "Inline to All Comments" REAL
@ATTRIBUTE "Unindented Comments" {True, False}
@ATTRIBUTE Macros REAL
@ATTRIBUTE #INCLUDE REAL
@ATTRIBUTE #DEFINE REAL
@ATTRIBUTE #IFNDEF REAL
@ATTRIBUTE #IFDEF REAL
@ATTRIBUTE "Using STL Libraries" {True, False}
@ATTRIBUTE Literals REAL
@ATTRIBUTE "Literal Name Readability" REAL
@ATTRIBUTE "Custom Types" REAL
@ATTRIBUTE "Custom Type Name Readability" REAL
@ATTRIBUTE "Object Definitions" REAL
@ATTRIBUTE "Object Declarations" REAL
@ATTRIBUTE "String Readability" REAL
@ATTRIBUTE "All Keywords" REAL
@ATTRIBUTE "IF Keywords" REAL
@ATTRIBUTE "ELSE Keywords" REAL
@ATTRIBUTE "FOR Keywords" REAL
@ATTRIBUTE "WHILE Keywords" REAL
@ATTRIBUTE "SWITCH Keywords" REAL
@ATTRIBUTE "DO Keywords" REAL
@ATTRIBUTE "Unique Words" REAL
@ATTRIBUTE Functions REAL
@ATTRIBUTE "Function Name Readability" REAL
@ATTRIBUTE "Nesting Depth" REAL
@ATTRIBUTE "Average Parameter Count" REAL
@ATTRIBUTE "Parameter Count Deviation" REAL
@ATTRIBUTE Commands REAL
@ATTRIBUTE "Average Commands per Line" REAL
@ATTRIBUTE "Commands per Line Deviation" REAL
@ATTRIBUTE "Empty Lines" REAL
@ATTRIBUTE Tabulators REAL
@ATTRIBUTE Spaces REAL
@ATTRIBUTE "Space Indents" REAL
@ATTRIBUTE "Tab Indents" REAL
@ATTRIBUTE "Prefers Tabs over Spaces" {True, False}
@ATTRIBUTE "Whitespace to Character Ratio" REAL
@ATTRIBUTE "Average Line Length" REAL
@ATTRIBUTE "Line Length Deviation" REAL
@ATTRIBUTE Author {.dd, .jaz, 23nigam, 37ae912, 3abdelazim, 3of7, 735612658, A.Grishchenko, a180285, a9108, aa2985759, aaaaajack, abcsampson, abdurak, abhay26, abhra73, Abscp, abyss.7, abyssmaul, achan1058, achiever202, ACMonster, ACPrimer, acrush, ACube, adi.pearl, ADJA, Adrian.Orzepowski, AdrianKuegel, adrianvidal, AekdyCoin, AEtheReal, afix, AguL, AHA, AHdoc, AhmedSalem, ahri, ahxun2006, Ahyangyi, aibaiche, AIQINGXING, airsplay, Aiz, AizukiKoh, AK93, Akai, akashin, akat, akazakov, akhtyamovpavel, Akitsukineko, AKM, aknow, akrasuski1, Al.Cash, alabax, AlanC, alantian, alberist, albert96, alberta.green, alei.alhepSoft, Aleksander, alex.jh, alex9801, AlexAlvarez, Alexander86, AlexeyChernevich, AlexUdalov, AlexX, Aliaksei, alikhtarov, alin, allenlyh, allocator64, ALONG, alpc104, alphaking, amashrabov, Amb, Amir.bh, amirmahdi, amoebius, amthabet, Amtrix, amylase, Ananya, Anardael, Anarivu, anders, Andfive, Andrew.Makar, AndreySiunov, andrii.nakryiko, angargo, angelok7, AngryBird, angwuy, ania7}

@DATA
46,95,743,0.0,0.0,0,0,0,False,0.021739130434782608,0.021739130434782608,0.0,0.0,0.0,False,22,0.09090909090909091,0.0,0,0.0,0.0,0.16666666666666666,0.21739130434782608,0.06521739130434782,0.043478260869565216,0.10869565217391304,0.0,0.0,0.0,0.2631578947368421,0.0,0,4,0,0,27,0.5869565217391305,0.6124763705103967,2,95,185,0.8913043478260869,0.8913043478260869,False,0.3768506056527591,16.108695652173914,10.470699432892253,23nigam
47,99,728,0.0,0.0425531914893617,0,0.0,0.0,False,0.1276595744680851,0.1276595744680851,0.0,0.0,0.0,True,18,0.08333333333333333,0.0,0,0.0,0.0,0.2,0.1276595744680851,0.02127659574468085,0.0425531914893617,0.06382978723404255,0.0,0.0,0.0,0.31313131313131315,0.0,0,2,0,0,27,0.574468085106383,0.5622453598913535,5,79,161,0.7872340425531915,0.7872340425531915,False,0.32967032967032966,15.382978723404255,8.273426889995472,23nigam
103,238,1731,0.0,0.47572815533980584,0,0.00019813750743015652,0.0,True,0.06796116504854369,0.06796116504854369,0.0,0.0,0.0,True,62,0.045454545454545456,0.0,0,0.0,0.0,0.125,0.10679611650485436,0.009708737864077669,0.009708737864077669,0.07766990291262135,0.0,0.0,0.009708737864077669,0.21428571428571427,0.009708737864077669,1.0,3,2.0,0.0,62,0.6019417475728155,0.6077858422094448,18,141,342,0.4077669902912621,0.4077669902912621,False,0.27902946273830154,16.631067961165048,8.42058629465548,23nigam
18,53,284,0.0,0.0,0,0,0,False,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,True,13,0.1111111111111111,0.0,0,0.0,0.0,0.3333333333333333,0.2222222222222222,0.05555555555555555,0.0,0.16666666666666666,0.0,0.0,0.0,0.4528301886792453,0.0,0,3,0,0,13,0.7222222222222222,0.6419753086419752,0,17,43,0.6111111111111112,0.6111111111111112,False,0.2112676056338028,15.777777777777779,6.999999999999998,23nigam
53,112,1199,0.0,0.0,0,0,0,False,0.03773584905660377,0.03773584905660377,0.0,0.0,0.0,False,14,0.08333333333333333,0.0,0,0.0,0.0,0.16666666666666666,0.20754716981132076,0.07547169811320754,0.05660377358490566,0.018867924528301886,0.05660377358490566,0.0,0.0,0.25,0.0,0,3,0,0,27,0.5094339622641509,0.5574937700249198,0,2,663,0.9056603773584906,0.0,False,0.554628857381151,22.62264150943396,9.322890708437168,23nigam
180,424,3608,0.0,0.016666666666666666,0,0.0018518518518518517,0.0,False,0.17777777777777778,0.07222222222222222,0.10555555555555556,0.0,0.0,True,84,0.02127659574468085,0.0,0,0.0,0.0,0.09090909090909091,0.16111111111111112,0.08888888888888889,0.005555555555555556,0.05555555555555555,0.011111111111111112,0.0,0.0,0.22877358490566038,0.016666666666666666,0.3333333333333333,4,2.0,0.0,89,0.49444444444444446,0.5603703703703701,0,0,1537,0.7333333333333333,0.0,False,0.4259977827050998,20.044444444444444,8.86518518518518,23nigam
29,65,510,0.0,0.06896551724137931,0,0.017241379310344827,0.0,False,0.034482758620689655,0.034482758620689655,0.0,0.0,0.0,False,10,0.1,0.0,0,0.0,0.0,0.16666666666666666,0.20689655172413793,0.06896551724137931,0.034482758620689655,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.5076923076923077,0.0,0,2,0,0,19,0.6551724137931034,0.4970273483947682,0,0,188,0.7931034482758621,0.0,False,0.3686274509803922,17.586206896551722,9.020214030915575,23nigam
83,334,2457,0.0,0.12048192771084337,0,0.0024096385542168677,0.0,False,0.03614457831325301,0.03614457831325301,0.0,0.0,0.0,True,69,0.03225806451612903,0.0,0,0.0,0.0,0.08333333333333333,0.18072289156626506,0.08433734939759036,0.024096385542168676,0.060240963855421686,0.012048192771084338,0.0,0.0,0.18562874251497005,0.012048192771084338,0.0,4,2.0,0.0,58,0.6987951807228916,0.5219915807809551,19,0,1068,0.8674698795180723,0.0,False,0.4346764346764347,29.373493975903614,12.877921323849623,37ae912
68,186,1474,0.0,0.029411764705882353,0,0.0,0.0,False,0.029411764705882353,0.029411764705882353,0.0,0.0,0.0,False,34,0.07142857142857142,0.0,0,0.0,0.0,0.16666666666666666,0.25,0.08823529411764706,0.014705882352941176,0.11764705882352941,0.029411764705882353,0.0,0.0,0.20967741935483872,0.0,0,4,0,0,47,0.6911764705882353,0.5895328719723184,19,0,540,0.8235294117647058,0.0,False,0.36635006784260515,21.397058823529413,10.649653979238757,37ae912
35,95,780,0.0,0.02857142857142857,0,0.0,0.0,False,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,True,19,0.08333333333333333,0.0,0,0.0,0.0,0.25,0.22857142857142856,0.08571428571428572,0.0,0.05714285714285714,0.08571428571428572,0.0,0.0,0.29473684210526313,0.0,0,4,0,0,22,0.6285714285714286,0.5387755102040818,13,0,351,0.8,0.0,False,0.45,21.914285714285715,9.092244897959183,37ae912
45,123,1017,0.044444444444444446,0.022222222222222223,0,0.0,0.0,False,0.022222222222222223,0.022222222222222223,0.0,0.0,0.0,False,21,0.08333333333333333,0.0,0,0.0,0.0,0.3333333333333333,0.3111111111111111,0.17777777777777778,0.044444444444444446,0.06666666666666667,0.022222222222222223,0.0,0.0,0.18699186991869918,0.0,0,4,0,0,27,0.6,0.5600000000000002,11,0,490,0.8888888888888888,0.0,False,0.48180924287118976,22.355555555555554,9.283950617283951,37ae912
87,223,1915,0.0,0.04597701149425287,0,0.0,0.0,False,0.04597701149425287,0.04597701149425287,0.0,0.0,0.0,True,55,0.041666666666666664,0.0,0,0.0,0.0,0.1,0.1724137931034483,0.05747126436781609,0.04597701149425287,0.034482758620689655,0.034482758620689655,0.0,0.0,0.23318385650224216,0.0,0,4,0,0,54,0.6206896551724138,0.5422116527942925,14,0,917,0.7931034482758621,0.0,False,0.47885117493472584,21.850574712643677,8.977672083498481,37ae912
41,115,883,0.0,0.0975609756097561,0,0.006097560975609756,0.0,False,0.04878048780487805,0.04878048780487805,0.0,0.0,0.0,False,24,0.07142857142857142,0.0,0,0.0,0.0,0.25,0.2926829268292683,0.04878048780487805,0.0,0.07317073170731707,0.024390243902439025,0.0,0.14634146341463414,0.24347826086956523,0.0,0,3,0,0,29,0.7073170731707317,0.5175490779298038,11,0,311,0.7560975609756098,0.0,False,0.3522083805209513,21.26829268292683,9.201665675193336,37ae912
